complaint_id,student_id,hostel_id,complaint_text,category,subcategory,priority,ai_suggestion,status
CMP-2025-3353,STU-121,HST-037,Outsider came inside without permission.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2024-8642,STU-196,HST-015,Constant arguments with roommate.,Roommate Issue,Guests,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-7850,STU-061,HST-051,Bedsheets not changed for two weeks.,Cleanliness,Common Area,High,Schedule housekeeping to clean the area immediately.,Resolved
CMP-2026-8648,STU-164,HST-019,Door banging repeatedly.,Noise/Disturbance,Night Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-6781,STU-175,HST-061,Warden asking for extra money for repairs.,Billing/Payment Dispute,Deposit Refund,Medium,Review charges with account; provide receipt.,Resolved
CMP-2024-8060,STU-175,HST-071,"Bed frame creaking loudly, needs oiling.",Maintenance,Plumbing,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-6939,STU-045,HST-061,"Repeatedly same menu, no variety.",Food Quality,Hygiene,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-2946,STU-123,HST-042,I want to change my room.,Other,Room Change,Low,Review student request and respond within 48 hours.,Submitted
CMP-2024-9341,STU-072,HST-008,Hair found in food twice this week.,Food Quality,Spoilage/Poisoning,Low,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2024-9446,STU-010,HST-025,Warden is very rude when approached.,Staff Behavior,Warden,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-6511,STU-048,HST-064,Oil used in cooking seems reused.,Food Quality,Hygiene,Low,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2025-6040,STU-186,HST-041,Request for a separate study table.,Other,Curfew,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2026-8871,STU-121,HST-013,"Fan regulator broken, fan running at full speed.",Maintenance,Door/Window,Medium,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2024-8225,STU-140,HST-045,Bread/chapati are undercooked.,Food Quality,Portion Size,Low,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-2020,STU-041,HST-069,My stuff used without asking.,Roommate Issue,Personal Space,Medium,Mediate between roommates; offer room change if needed.,In Progress
CMP-2024-8531,STU-123,HST-060,Fruit provided is rotten.,Food Quality,Taste,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-5890,STU-148,HST-040,My mattress is too old and uncomfortable.,Other,Room Change,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2026-5480,STU-188,HST-030,"Party in neighboring room, can't sleep.",Noise/Disturbance,Roommate Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2026-2294,STU-046,HST-039,My phone went missing from study room.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-5450,STU-165,HST-044,Roommate brings food and leaves plates for days.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2024-4814,STU-067,HST-032,Oil used in cooking seems reused.,Food Quality,Spoilage/Poisoning,High,Inspect kitchen and food storage; check hygiene.,Resolved
CMP-2024-3587,STU-043,HST-071,"Geyser not working, no hot water.",Maintenance,Plumbing,High,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2024-4804,STU-059,HST-011,Warden threatened to fine for a minor rule.,Staff Behavior,Security,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-4052,STU-199,HST-072,Need permission to keep a bicycle inside.,Other,General,Low,Review student request and respond within 48 hours.,Submitted
CMP-2025-8444,STU-163,HST-068,My laptop was stolen from room.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,Resolved
CMP-2024-8518,STU-071,HST-022,Need permission to keep a bicycle inside.,Other,Curfew,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2026-7643,STU-194,HST-029,My laptop was stolen from room.,Safety/Security,Unauthorized Entry,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2025-5064,STU-025,HST-028,Cook refuses to serve extra roti.,Staff Behavior,Cleaner,High,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2026-1187,STU-151,HST-037,"Geyser not working, no hot water.",Maintenance,AC,Low,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2026-9233,STU-090,HST-013,Security guard often missing after 10 PM.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,Submitted
CMP-2024-8454,STU-016,HST-029,Gate left unlocked at night.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-2341,STU-175,HST-052,Roommate's friends hang out in our room all the time.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,Acknowledged
CMP-2026-4312,STU-141,HST-055,My mattress is too old and uncomfortable.,Other,Curfew,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2026-9008,STU-006,HST-053,Need permission to keep a bicycle inside.,Other,Suggestion,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2026-8575,STU-030,HST-004,Room not cleaned for 5 days.,Cleanliness,Pest Control,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2025-2044,STU-058,HST-010,My phone went missing from study room.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-7887,STU-017,HST-072,I want to change my room.,Other,General,Medium,Review student request and respond within 48 hours.,In Progress
CMP-2026-3178,STU-180,HST-049,Roommate's friends hang out in our room all the time.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,Acknowledged
CMP-2024-1372,STU-118,HST-005,My stuff used without asking.,Roommate Issue,Cleanliness,Medium,Mediate between roommates; offer room change if needed.,Resolved
CMP-2025-4088,STU-194,HST-009,My phone went missing from study room.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-1797,STU-019,HST-014,"Floor has sticky stains, not mopped properly.",Cleanliness,Room Cleaning,High,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-3295,STU-147,HST-041,Students shouting late at night in common room.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,In Progress
CMP-2025-4881,STU-013,HST-046,Internet quota exhausted too quickly.,Other,Room Change,Low,Review student request and respond within 48 hours.,Acknowledged
CMP-2026-3869,STU-113,HST-011,Security guard often missing after 10 PM.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,Resolved
CMP-2025-7688,STU-185,HST-002,Warden is very rude when approached.,Staff Behavior,Security,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2026-3365,STU-165,HST-066,Hair found in food twice this week.,Food Quality,Hygiene,High,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2024-6411,STU-195,HST-061,Amount taken but no receipt provided.,Billing/Payment Dispute,Overcharging,High,Review charges with account; provide receipt.,Submitted
CMP-2026-1647,STU-085,HST-037,Bathroom mirror and sink are never cleaned.,Cleanliness,Pest Control,High,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2025-1251,STU-071,HST-029,Trash piled up near the entrance.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,Resolved
CMP-2024-6269,STU-134,HST-021,My roommate plays loud music after 11 PM.,Noise/Disturbance,Night Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-8635,STU-126,HST-055,Emergency exit blocked with boxes.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2024-3390,STU-042,HST-026,Bathroom mirror and sink are never cleaned.,Cleanliness,Pest Control,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-7223,STU-163,HST-048,Cupboard door off its hinges.,Maintenance,AC,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2025-3773,STU-043,HST-040,Door banging repeatedly.,Noise/Disturbance,Roommate Noise,Medium,Warn the noisy party and enforce quiet hours.,In Progress
CMP-2024-1794,STU-023,HST-001,Bread/chapati are undercooked.,Food Quality,Portion Size,Medium,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2025-1990,STU-184,HST-073,Light bulb fused in corridor near Room 219.,Maintenance,Furniture,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2026-5501,STU-012,HST-035,Warden asking for extra money for repairs.,Billing/Payment Dispute,Unexpected Fee,Medium,Review charges with account; provide receipt.,Submitted
CMP-2024-2578,STU-149,HST-067,Curfew time is too early for exam preparation.,Other,Room Change,Low,Review student request and respond within 48 hours.,Resolved
CMP-2025-2294,STU-183,HST-029,Internet quota exhausted too quickly.,Other,Suggestion,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2024-1519,STU-011,HST-067,Roommate's friends hang out in our room all the time.,Roommate Issue,Personal Space,Medium,Mediate between roommates; offer room change if needed.,In Progress
CMP-2024-2354,STU-200,HST-003,"Floor has sticky stains, not mopped properly.",Cleanliness,Pest Control,High,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-8790,STU-145,HST-022,Double charged for this month's rent.,Billing/Payment Dispute,Deposit Refund,Low,Review charges with account; provide receipt.,Submitted
CMP-2025-1256,STU-128,HST-043,Outsider came inside without permission.,Safety/Security,Theft,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2025-9856,STU-050,HST-034,Construction noise from next building all day.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-6580,STU-198,HST-067,My stuff used without asking.,Roommate Issue,Personal Space,High,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-8075,STU-044,HST-055,Warden is very rude when approached.,Staff Behavior,Cleaner,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2026-3527,STU-124,HST-025,"Dal has a weird smell, looks old.",Food Quality,Portion Size,High,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-2674,STU-105,HST-054,Staff enters room without knocking.,Staff Behavior,Cleaner,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-2468,STU-020,HST-012,Bread/chapati are undercooked.,Food Quality,Spoilage/Poisoning,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-4977,STU-150,HST-019,Constant arguments with roommate.,Roommate Issue,Cleanliness,Medium,Mediate between roommates; offer room change if needed.,In Progress
CMP-2024-3739,STU-085,HST-010,No place to dry clothes inside.,Other,Suggestion,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2026-9123,STU-072,HST-010,Canteen staff not serving on time.,Staff Behavior,Cleaner,Medium,Counsel the staff member; involve owner if repeated.,Resolved
CMP-2026-7224,STU-122,HST-033,My roommate plays loud music after 11 PM.,Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2026-4290,STU-063,HST-072,Constant arguments with roommate.,Roommate Issue,Personal Space,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-4971,STU-155,HST-015,Unexplained deduction from rent.,Billing/Payment Dispute,Deposit Refund,Low,Review charges with account; provide receipt.,Acknowledged
CMP-2026-3947,STU-158,HST-047,Roommate brings food and leaves plates for days.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-9180,STU-120,HST-014,Need a warmer blanket for winter.,Other,General,Low,Review student request and respond within 48 hours.,Submitted
CMP-2024-8357,STU-047,HST-017,Very little chicken/vegetables served.,Food Quality,Hygiene,Low,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2025-9796,STU-105,HST-039,Amount taken but no receipt provided.,Billing/Payment Dispute,Unexpected Fee,Medium,Review charges with account; provide receipt.,In Progress
CMP-2026-7547,STU-177,HST-028,Cockroaches in Room 282.,Cleanliness,Room Cleaning,High,Schedule housekeeping to clean the area immediately.,Resolved
CMP-2026-4621,STU-094,HST-007,Roommate has guests late at night.,Roommate Issue,Personal Space,Medium,Mediate between roommates; offer room change if needed.,In Progress
CMP-2024-8909,STU-160,HST-037,Amount taken but no receipt provided.,Billing/Payment Dispute,Deposit Refund,Medium,Review charges with account; provide receipt.,Submitted
CMP-2024-9537,STU-200,HST-001,"Floor has sticky stains, not mopped properly.",Cleanliness,Common Area,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-2885,STU-102,HST-011,Warden asking for extra money for repairs.,Billing/Payment Dispute,Deposit Refund,Medium,Review charges with account; provide receipt.,Submitted
CMP-2025-7985,STU-177,HST-020,AC not cooling properly in Room 185.,Maintenance,AC,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-8365,STU-182,HST-039,Amount taken but no receipt provided.,Billing/Payment Dispute,Overcharging,Medium,Review charges with account; provide receipt.,In Progress
CMP-2024-2667,STU-015,HST-046,Warden is very rude when approached.,Staff Behavior,Security,Low,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2025-9646,STU-025,HST-031,My mattress is too old and uncomfortable.,Other,Suggestion,Medium,Review student request and respond within 48 hours.,Acknowledged
CMP-2024-5873,STU-089,HST-067,Roommate uses my phone charger without permission.,Roommate Issue,Personal Space,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2024-9369,STU-080,HST-006,Bathroom mirror and sink are never cleaned.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-3838,STU-092,HST-031,Cleaner shouted at me for no reason.,Staff Behavior,Security,High,Counsel the staff member; involve owner if repeated.,Acknowledged
CMP-2024-6882,STU-178,HST-049,Need a warmer blanket for winter.,Other,Suggestion,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2026-9056,STU-093,HST-075,Light bulb fused in corridor near Room 200.,Maintenance,Furniture,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2025-1535,STU-190,HST-067,Warden threatened to fine for a minor rule.,Staff Behavior,Security,High,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2026-9369,STU-081,HST-045,Gate left unlocked at night.,Safety/Security,Unauthorized Entry,Medium,Investigate immediately; if serious call police.,In Progress
CMP-2026-8231,STU-156,HST-027,"Mosquitoes everywhere, no nets provided.",Cleanliness,Room Cleaning,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2025-5305,STU-065,HST-067,No place to dry clothes inside.,Other,Suggestion,Medium,Review student request and respond within 48 hours.,Resolved
CMP-2025-8015,STU-010,HST-026,Roommate's friends hang out in our room all the time.,Roommate Issue,Cleanliness,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-3758,STU-065,HST-061,Very little chicken/vegetables served.,Food Quality,Taste,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2024-3221,STU-150,HST-010,Roommate brings food and leaves plates for days.,Roommate Issue,Guests,Low,Mediate between roommates; offer room change if needed.,Acknowledged
CMP-2024-7434,STU-160,HST-011,Warden doesn't listen to complaints.,Staff Behavior,Warden,Medium,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2024-7600,STU-134,HST-031,Admin added maintenance fee without notice.,Billing/Payment Dispute,Overcharging,High,Review charges with account; provide receipt.,In Progress
CMP-2026-2526,STU-147,HST-052,My mattress is too old and uncomfortable.,Other,Room Change,Low,Review student request and respond within 48 hours.,In Progress
CMP-2024-9105,STU-013,HST-050,Double charged for this month's rent.,Billing/Payment Dispute,Unexpected Fee,High,Review charges with account; provide receipt.,Submitted
CMP-2025-1793,STU-095,HST-034,Gate left unlocked at night.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,In Progress
CMP-2025-4314,STU-141,HST-048,"Fan regulator broken, fan running at full speed.",Maintenance,Plumbing,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2026-3711,STU-055,HST-070,Bread/chapati are undercooked.,Food Quality,Hygiene,High,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-2276,STU-057,HST-030,"Bed frame creaking loudly, needs oiling.",Maintenance,Furniture,Low,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2025-3165,STU-162,HST-070,Fruit provided is rotten.,Food Quality,Taste,Low,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2025-3246,STU-111,HST-065,Food bill is higher than agreed.,Billing/Payment Dispute,Overcharging,High,Review charges with account; provide receipt.,Submitted
CMP-2025-6753,STU-106,HST-029,Cleaner shouted at me for no reason.,Staff Behavior,Cook,High,Counsel the staff member; involve owner if repeated.,Acknowledged
CMP-2024-3293,STU-044,HST-072,Construction noise from next building all day.,Noise/Disturbance,External Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-5668,STU-189,HST-029,Bathroom mirror and sink are never cleaned.,Cleanliness,Pest Control,Medium,Schedule housekeeping to clean the area immediately.,Acknowledged
CMP-2025-1894,STU-136,HST-072,"Bed frame creaking loudly, needs oiling.",Maintenance,Other Maintenance,Medium,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2024-6916,STU-090,HST-028,TV volume too high in lounge.,Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-2195,STU-182,HST-049,Roommate uses my phone charger without permission.,Roommate Issue,Noise,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-9300,STU-159,HST-017,AC not cooling properly in Room 108.,Maintenance,Door/Window,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-6077,STU-187,HST-065,My phone went missing from study room.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-2083,STU-081,HST-047,Common washroom is very dirty and smelly.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2026-1901,STU-054,HST-032,Security guard often missing after 10 PM.,Safety/Security,Security Guard,Low,Investigate immediately; if serious call police.,Submitted
CMP-2025-9568,STU-138,HST-007,Outsider came inside without permission.,Safety/Security,Unauthorized Entry,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2024-6488,STU-140,HST-051,Need permission to keep a bicycle inside.,Other,Room Change,Low,Review student request and respond within 48 hours.,Submitted
CMP-2026-6900,STU-040,HST-071,Cook refuses to serve extra roti.,Staff Behavior,Cleaner,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2026-2889,STU-179,HST-030,Water leakage from ceiling during rain.,Maintenance,Furniture,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-3932,STU-194,HST-017,Students shouting late at night in common room.,Noise/Disturbance,External Noise,High,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-2276,STU-137,HST-032,"Geyser not working, no hot water.",Maintenance,Door/Window,Medium,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2024-8620,STU-120,HST-004,My roommate never cleans his side.,Roommate Issue,Cleanliness,Low,Mediate between roommates; offer room change if needed.,Resolved
CMP-2026-5979,STU-005,HST-038,Feeling unsafe due to unverified visitors.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,Submitted
CMP-2024-3466,STU-183,HST-036,Door banging repeatedly.,Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-6488,STU-056,HST-060,Water not coming in bathroom since since yesterday.,Maintenance,Furniture,Medium,Assign technician to fix the issue within 24 hours.,Acknowledged
CMP-2025-1981,STU-169,HST-062,"Geyser not working, no hot water.",Maintenance,Other Maintenance,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2025-2391,STU-124,HST-037,"Dal has a weird smell, looks old.",Food Quality,Hygiene,Medium,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2024-4879,STU-124,HST-018,"Floor has sticky stains, not mopped properly.",Cleanliness,Bathroom,High,Schedule housekeeping to clean the area immediately.,Acknowledged
CMP-2024-4321,STU-096,HST-022,Feeling unsafe due to unverified visitors.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-6870,STU-190,HST-040,Bread/chapati are undercooked.,Food Quality,Spoilage/Poisoning,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-1660,STU-057,HST-013,"Party in neighboring room, can't sleep.",Noise/Disturbance,Roommate Noise,High,Warn the noisy party and enforce quiet hours.,In Progress
CMP-2024-5896,STU-087,HST-021,Construction noise from next building all day.,Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-2669,STU-066,HST-018,My laptop was stolen from room.,Safety/Security,Unauthorized Entry,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2026-2376,STU-124,HST-004,Lunch rice was spoiled yesterday.,Food Quality,Spoilage/Poisoning,High,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-3007,STU-001,HST-022,My laptop was stolen from room.,Safety/Security,Theft,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2024-7270,STU-002,HST-059,Water not coming in bathroom since since yesterday.,Maintenance,Furniture,Low,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-5026,STU-073,HST-042,Staff enters room without knocking.,Staff Behavior,Cook,Medium,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2025-4267,STU-147,HST-064,My phone went missing from study room.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-9231,STU-161,HST-023,Curfew time is too early for exam preparation.,Other,Suggestion,Low,Review student request and respond within 48 hours.,In Progress
CMP-2025-1959,STU-174,HST-042,Roommate brings food and leaves plates for days.,Roommate Issue,Personal Space,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2025-9743,STU-001,HST-021,Double charged for this month's rent.,Billing/Payment Dispute,Unexpected Fee,High,Review charges with account; provide receipt.,Acknowledged
CMP-2026-6878,STU-091,HST-058,Water leakage from ceiling during rain.,Maintenance,Electrical,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2025-9882,STU-004,HST-061,Tiles cracked in common washroom.,Maintenance,Other Maintenance,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2026-8831,STU-014,HST-042,Emergency exit blocked with boxes.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-1975,STU-136,HST-056,Water leakage from ceiling during rain.,Maintenance,AC,Low,Assign technician to fix the issue within 24 hours.,Resolved
CMP-2025-7481,STU-132,HST-021,Water leakage from ceiling during rain.,Maintenance,Electrical,Low,Assign technician to fix the issue within 24 hours.,Resolved
CMP-2026-8982,STU-043,HST-059,"Mosquitoes everywhere, no nets provided.",Cleanliness,Common Area,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-5825,STU-114,HST-040,Constant arguments with roommate.,Roommate Issue,Noise,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-4619,STU-127,HST-046,Lunch rice was spoiled yesterday.,Food Quality,Taste,High,Inspect kitchen and food storage; check hygiene.,Acknowledged
CMP-2024-2453,STU-014,HST-074,Common washroom is very dirty and smelly.,Cleanliness,Pest Control,Medium,Schedule housekeeping to clean the area immediately.,Resolved
CMP-2024-1020,STU-132,HST-031,My roommate never cleans his side.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-7149,STU-159,HST-024,"Fan regulator broken, fan running at full speed.",Maintenance,Furniture,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2025-1328,STU-149,HST-055,Trash piled up near the entrance.,Cleanliness,Pest Control,High,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2024-9962,STU-012,HST-036,Roommate has guests late at night.,Roommate Issue,Guests,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-8113,STU-099,HST-061,Trash piled up near the entrance.,Cleanliness,Common Area,Medium,Schedule housekeeping to clean the area immediately.,Acknowledged
CMP-2026-9849,STU-162,HST-049,"Dal has a weird smell, looks old.",Food Quality,Spoilage/Poisoning,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2025-3516,STU-034,HST-047,Gate left unlocked at night.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-4271,STU-200,HST-025,Water not coming in bathroom since yesterday.,Maintenance,AC,Low,Assign technician to fix the issue within 24 hours.,Acknowledged
CMP-2024-6052,STU-052,HST-047,Cockroaches in Room 188.,Cleanliness,Room Cleaning,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2025-7052,STU-197,HST-034,Warden threatened to fine for a minor rule.,Staff Behavior,Security,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2026-2009,STU-136,HST-073,Lunch rice was spoiled yesterday.,Food Quality,Portion Size,High,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2026-1999,STU-056,HST-049,"Dal has a weird smell, looks old.",Food Quality,Spoilage/Poisoning,Low,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-1568,STU-163,HST-040,Warden threatened to fine for a minor rule.,Staff Behavior,Security,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-1699,STU-038,HST-067,I want to change my room.,Other,Suggestion,Low,Review student request and respond within 48 hours.,In Progress
CMP-2026-2097,STU-116,HST-066,Canteen staff not serving on time.,Staff Behavior,Warden,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-9561,STU-148,HST-073,Rats in the kitchen area.,Cleanliness,Pest Control,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-2730,STU-172,HST-072,Canteen staff not serving on time.,Staff Behavior,Warden,Medium,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2026-8750,STU-062,HST-039,Rats in the kitchen area.,Cleanliness,Common Area,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-7484,STU-071,HST-009,"Bed frame creaking loudly, needs oiling.",Maintenance,Electrical,Medium,Assign technician to fix the issue within 24 hours.,Acknowledged
CMP-2025-6094,STU-086,HST-049,My roommate never cleans his side.,Roommate Issue,Noise,High,Mediate between roommates; offer room change if needed.,In Progress
CMP-2025-5414,STU-058,HST-035,Outsider came inside without permission.,Safety/Security,Security Guard,Low,Investigate immediately; if serious call police.,Submitted
CMP-2025-1920,STU-128,HST-066,Security guard uses offensive language.,Staff Behavior,Warden,Low,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2026-1474,STU-156,HST-012,I want to change my room.,Other,Suggestion,Medium,Review student request and respond within 48 hours.,In Progress
CMP-2026-4262,STU-066,HST-003,Very little chicken/vegetables served.,Food Quality,Taste,Medium,Inspect kitchen and food storage; check hygiene.,Resolved
CMP-2025-8308,STU-108,HST-063,Emergency exit blocked with boxes.,Safety/Security,CCTV Issue,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2026-2480,STU-011,HST-056,Oil used in cooking seems reused.,Food Quality,Portion Size,High,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2024-4688,STU-192,HST-075,My phone went missing from study room.,Safety/Security,Theft,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2024-1138,STU-108,HST-040,TV volume too high in lounge.,Noise/Disturbance,Roommate Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-8646,STU-084,HST-011,"Party in neighboring room, can't sleep.",Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-5890,STU-175,HST-071,Outsider came inside without permission.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-5895,STU-142,HST-025,Dustbins overflowing near corridor.,Cleanliness,Pest Control,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-1417,STU-005,HST-006,Talking loudly in corridor after quiet hours.,Noise/Disturbance,Night Noise,Low,Warn the noisy party and enforce quiet hours.,Acknowledged
CMP-2026-4111,STU-190,HST-051,Admin added maintenance fee without notice.,Billing/Payment Dispute,Deposit Refund,Low,Review charges with account; provide receipt.,Submitted
CMP-2026-3967,STU-149,HST-054,Roommate's friends hang out in our room all the time.,Roommate Issue,Noise,Low,Mediate between roommates; offer room change if needed.,In Progress
